캐릭터 승급에 대한 관리,,"캐릭터 등급 (1. 견습 증기 기사, 2. 중급 증기 기사, 3.상급 증기 기사, 4. 앤틱커, 5. 마스터 엔티커, 6. 어벤져 패러독스, 7. 네메시스, 8. 안티테제 데이나투라)",,,
캐릭터 등급 ,캐릭터 승급이 가능한 레벨,캐릭터 승급 시 상승하는 스테이터스 값,캐릭터 승급 시 소비하는 골드값,캐릭터 아이콘,캐릭터 스탠드 이미지
Character_Rank,Character_Rank_Level,Character_Rank_Value,Character_Rank_Gold,Character_Icon,Character_Stand
enum,int,float,int,string,string
1,1,1,0,Ingame_Vol.1,Based
2,20,1.07,500000,Ingame_Vol.1,Rank2
3,40,1.18,1500000,Ingame_Vol.1,Rank3
4,70,1.34,4000000,Ingame_Vol.1,Rank4
5,100,1.55,8000000,Ingame_Vol.5,Rank5
6,140,1.84,15000000,Ingame_Vol.6,Rank6
7,180,2.2,30000000,Ingame_Vol.7,Rank7
8,200,2.6,60000000,Ingame_Vol.8,Rank8
