캐릭터 스테이터스 관리,,,,,,,,,,,,
캐릭터의 Id (70001부터 +1씩 증가), 레벨, 체력, 공격력, 마법공격력, 공격속도, 크리티컬 확률, 크리티컬 데미지, 방어력, 마법저항력, 체력 재생력, 이동속도,캐릭터 레벨 업 시 필요한 경험치
Character_Id,Character_Level,Character_Hp,Character_Atk,Character_Atk_M,Character_Dps,Character_Crt_Prob,Character_Crt_Dmg,Character_Def,Character_Def_M,Character_Hp_Regen,Character_Agi,Character_Level_Exp_N
int,int,float,float,float,float,float,float,float,float,float,float,string
70001,1,750,200,0,1,2,3,30,30,10,1,5000
70002,2,769,205,0,1.001,2,3,31,31,10,1,5500
70003,3,788,210,0,1.002,2,3,32,32,10,1,6050
70004,4,808,215,0,1.003,2,3,32,32,10,1,6655
70005,5,828,221,0,1.004,2,3,33,33,10,1,7321
70006,6,849,226,0,1.005,2,3,34,34,10,1,8053
70007,7,870,232,0,1.006,2,3,35,35,10,1,8858
70008,8,892,238,0,1.007,2,3,36,36,10,1,9744
70009,9,914,244,0,1.008,2,3,37,37,10,1,10718
70010,10,937,250,0,1.009,2,3,37,37,10,1,11790
70011,11,960,256,0,1.01,2,3,38,38,10,1,12969
70012,12,984,262,0,1.011,2,3,39,39,10,1,14266
70013,13,1009,269,0,1.012,2,3,40,40,10,1,15692
70014,14,1034,276,0,1.013,2,3,41,41,10,1,17261
70015,15,1060,283,0,1.014,2,3,42,42,10,1,18987
70016,16,1086,290,0,1.015,2,3,43,43,10,1,20886
70017,17,1113,297,0,1.016,2,3,45,45,10,1,22975
70018,18,1141,304,0,1.017,2,3,46,46,10,1,25272
70019,19,1170,312,0,1.018,2,3,47,47,10,1,27800
70020,20,1199,320,0,1.019,2,3,48,48,10,1,30580
70021,21,1229,328,0,1.02,2,3,49,49,10,1,33637
70022,22,1260,336,0,1.021,2,3,50,50,10,1,37001
70023,23,1291,344,0,1.022,2,3,52,52,10,1,40701
70024,24,1323,353,0,1.023,2,3,53,53,10,1,44772
70025,25,1357,362,0,1.024,2,3,54,54,10,1,49249
70026,26,1390,371,0,1.025,2,3,56,56,10,1,54174
70027,27,1425,380,0,1.026,2,3,57,57,10,1,59591
70028,28,1461,390,0,1.027,2,3,58,58,10,1,65550
70029,29,1497,399,0,1.028,2,3,60,60,10,1,72105
70030,30,1535,409,0,1.029,2,3,61,61,10,1,79315
70031,31,1573,420,0,1.03,2,3,63,63,10,1,87247
70032,32,1613,430,0,1.031,2,3,65,65,10,1,95972
70033,33,1653,441,0,1.032,2,3,66,66,10,1,105569
70034,34,1694,452,0,1.033,2,3,68,68,10,1,116126
70035,35,1736,463,0,1.034,2,3,69,69,10,1,127738
70036,36,1780,475,0,1.035,2,3,71,71,10,1,140512
70037,37,1824,487,0,1.036,2,3,73,73,10,1,154563
70038,38,1870,499,0,1.037,2,3,75,75,10,1,170020
70039,39,1917,511,0,1.038,2,3,77,77,10,1,187022
70040,40,1965,524,0,1.039,2,3,79,79,10,1,205724
70041,41,2014,537,0,1.04,2,3,81,81,10,1,226296
70042,42,2064,550,0,1.041,2,3,83,83,10,1,248926
70043,43,2116,564,0,1.042,2,3,85,85,10,1,273818
70044,44,2169,578,0,1.043,2,3,87,87,10,1,301200
70045,45,2223,593,0,1.044,2,3,89,89,10,1,331320
70046,46,2278,608,0,1.045,2,3,91,91,10,1,364452
70047,47,2335,623,0,1.046,2,3,93,93,10,1,400898
70048,48,2394,638,0,1.047,2,3,96,96,10,1,440987
70049,49,2454,654,0,1.048,2,3,98,98,10,1,485086
70050,50,2515,671,0,1.049,2,3,101,101,10,1,533595
70051,51,2578,687,0,1.05,2,3,103,103,10,1,586954
70052,52,2642,705,0,1.051,2,3,106,106,10,1,645650
70053,53,2708,722,0,1.052,2,3,108,108,10,1,710215
70054,54,2776,740,0,1.053,2,3,111,111,10,1,781236
70055,55,2845,759,0,1.054,2,3,114,114,10,1,859360
70056,56,2917,778,0,1.055,2,3,117,117,10,1,945296
70057,57,2989,797,0,1.056,2,3,120,120,10,1,1039825
70058,58,3064,817,0,1.057,2,3,123,123,10,1,1143808
70059,59,3141,838,0,1.058,2,3,126,126,10,1,1258189
70060,60,3219,858,0,1.059,2,3,129,129,10,1,1384007
70061,61,3300,880,0,1.06,2,3,132,132,10,1,1522408
70062,62,3382,902,0,1.061,2,3,135,135,10,1,1674649
70063,63,3467,925,0,1.062,2,3,139,139,10,1,1842114
70064,64,3554,948,0,1.063,2,3,142,142,10,1,2026325
70065,65,3642,971,0,1.064,2,3,146,146,10,1,2228958
70066,66,3733,996,0,1.065,2,3,149,149,10,1,2451854
70067,67,3827,1020,0,1.066,2,3,153,153,10,1,2697039
70068,68,3922,1046,0,1.067,2,3,157,157,10,1,2966743
70069,69,4021,1072,0,1.068,2,3,161,161,10,1,3263417
70070,70,4121,1099,0,1.069,2,3,165,165,10,1,3589759
70071,71,4224,1126,0,1.07,2,3,169,169,10,1,3948735
70072,72,4330,1155,0,1.071,2,3,173,173,10,1,4343608
70073,73,4438,1183,0,1.072,2,3,178,178,10,1,4777969
70074,74,4549,1213,0,1.073,2,3,182,182,10,1,5255766
70075,75,4663,1243,0,1.074,2,3,187,187,10,1,5781343
70076,76,4779,1274,0,1.075,2,3,191,191,10,1,6359477
70077,77,4899,1306,0,1.076,2,3,196,196,10,1,6995425
70078,78,5021,1339,0,1.077,2,3,201,201,10,1,7694967
70079,79,5147,1372,0,1.078,2,3,206,206,10,1,8464464
70080,80,5275,1407,0,1.079,2,3,211,211,10,1,9310910
70081,81,5407,1442,0,1.08,2,3,216,216,10,1,10242001
70082,82,5542,1478,0,1.081,2,3,222,222,10,1,11266201
70083,83,5681,1515,0,1.082,2,3,227,227,10,1,12392821
70084,84,5823,1553,0,1.083,2,3,233,233,10,1,13632103
70085,85,5969,1592,0,1.084,2,3,239,239,10,1,14995314
70086,86,6118,1631,0,1.085,2,3,245,245,10,1,16494845
70087,87,6271,1672,0,1.086,2,3,251,251,10,1,18144330
70088,88,6427,1714,0,1.087,2,3,257,257,10,1,19958763
70089,89,6588,1757,0,1.088,2,3,264,264,10,1,21954639
70090,90,6753,1801,0,1.089,2,3,270,270,10,1,24150103
70091,91,6922,1846,0,1.09,2,3,277,277,10,1,26565113
70092,92,7095,1892,0,1.091,2,3,284,284,10,1,29221624
70093,93,7272,1939,0,1.092,2,3,291,291,10,1,32143787
70094,94,7454,1988,0,1.093,2,3,298,298,10,1,35358165
70095,95,7640,2037,0,1.094,2,3,306,306,10,1,38893982
70096,96,7831,2088,0,1.095,2,3,313,313,10,1,42783380
70097,97,8027,2141,0,1.096,2,3,321,321,10,1,47061718
70098,98,8228,2194,0,1.097,2,3,329,329,10,1,51767890
