캐릭터 업그레이드 시 상승하는 스테이터스,,,,,,,,,,,,
캐릭터의 Id (70001부터 +1씩 증가), 상승하는 체력, 상승하는 공격력, 상승하는 마법공격력, 상승하는 공격속도, 상승하는 크리티컬 확률, 상승하는 크리티컬 데미지, 상승하는 방어력, 상승하는 마법저항력, 상승하는 체력재생력, 상승하는 이동속도, 상승하는 스크랩,업그레이드 최대 상승 수치
Character_Id,Character_Upgrade_Hp,Character_Upgrade_Atk,Character_Upgrade_Atk_M,Character_Upgrade_Dps,Character_Upgrade_Crt_Prob,Character_Upgrade_Crt_Dmg,Character_Upgrade_Def,Character_Upgrade_Def_M,Character_Upgrade_Hp_Regen,Character_Upgrade_Agi,Character_Upgrade_Scrap,Character_Upgrade_Max
int,float,float,float,float,float,float,float,float,float,float,int,int
70001,0.745,0,0,0,0,0,0,0,0,0,4,50
70002,0,0.5,0,0,0,0,0,0,0,0,6,50
70003,0,0,0,0,0,0,0,0,0,0,99999,50
70004,0,0,0,0.2,0,0,0,0,0,0,8,50
70005,0,0,0,0,0.2,0,0,0,0,0,4,50
70006,0,0,0,0,0,0.3,0,0,0,0,3,50
70007,0,0,0,0,0,0,1,0,0,0,2,50
70008,0,0,0,0,0,0,0,1,0,0,4,50
70009,0,0,0,0,0,0,0,0,0.2,0,5,50
70010,0,0,0,0,0,0,0,0,0,0.2,6,50
