던전 보상 그룹,,,획득 재화 (1.골드 2. 경험치 3. 스킬주문서 4. 요정석 5. 강자의증표 6. 장비),,,,,,"장비 보상 등급 (1. 일반, 2. 희귀, 3. 레어, 4. 전설, 5. 신화)"
보상 그룹 id (180001부터 시작),획득 재화에 따른 던전 타입 ,소비 아이템 id (190001부터 시작),장비 보상 등급, 보상 최소값, 보상 최대값,,,,
Reward_Group_Id,Dungeon_Type,Consum_Id,Reward_Rank, Reward_Min, Reward_Max,,,,
int,enum,int,enum, int, int,,,,
180001,1,190001,0,"  50,000 ","  50,000 ",,,,
180002,1,190001,0,"  200,000 ","  200,000 ",,,,
180003,1,190001,0,"  1,000,000 ","  1,000,000 ",,,,
180004,1,190001,0,"  5,000,000 ","  5,000,000 ",,,,
180005,1,190001,0,"  20,000,000 ","  20,000,000 ",,,,
180006,2,190002,0,"  101,931.8 ","  101,931.8 ",,,,
180007,2,190002,0,"  5,074,694.0 ","  5,074,694.0 ",,,,
180008,2,190002,0,"  208,797,156.7 ","  208,797,156.7 ",,,,
180009,2,190002,0,"  1,404,682,860.9 ","  1,404,682,860.9 ",,,,
180010,2,190002,0,"  24,510,876,299.6 ","  24,510,876,299.6 ",,,,
180011,3,999999,0,  1 ,  5 ,,,,
180012,3,999999,0,  10 ,  20 ,,,,
180013,3,999999,0,  30 ,  70 ,,,,
180014,3,999999,0,  500 ,"  1,000 ",,,,
180015,3,999999,0,"  2,000 ","  3,000 ",,,,
180016,4,999999,0,  1 ,  2 ,,,,
180017,4,999999,0,  2 ,  4 ,,,,
180018,4,999999,0,  4 ,  6 ,,,,
180019,4,999999,0,  6 ,  8 ,,,,
180020,4,999999,0,  8 ,  10 ,,,,
180021,5,190005,0,  10 ,  10 ,,,,
180022,5,190005,0,  20 ,  20 ,,,,
180023,5,190005,0,  40 ,  40 ,,,,
180024,5,190005,0,  70 ,  70 ,,,,
180025,5,190005,0,  100 ,  100 ,,,,
180026,6,999999,2,  1 ,  3 ,,,,
180027,6,999999,2,  3 ,  5 ,,,,
180028,6,999999,3,  1 ,  3 ,,,,
180029,6,999999,3,  3 ,  5 ,,,,
