그렘린의 스테이터스 정의,,,,,
던전 단계 id (160001 부터 시작),던전의 고유 id (150001 부터 시작),단계별 던전 적정 전투력 텍스트,클리어 제한시간(초단위),몬스터 그룹 id (170001 부터 시작),보상 그룹 id (180001 부터 시작)
Dungeon_Step_Id,Dungeon_Id,Rec_Cp,Time_Limit,Monster_Group_Id,Reward_Group_Id
int,int,string,string,int,int
160001,150001,권장 전투력 : 1000,60,170001,180001
160002,150001,권장 전투력 : 2000,60,170002,180002
160003,150001,권장 전투력 : 3000,60,170003,180003
160004,150001,권장 전투력 : 4000,60,170004,180004
160005,150001,권장 전투력 : 5000,60,170005,180005
160501,150002,권장 전투력 : 2000,60,170006,180006
160502,150002,권장 전투력 : 3000,60,170006,180007
160503,150002,권장 전투력 : 4000,60,170006,180008
160504,150002,권장 전투력 : 5000,60,170006,180009
160505,150002,권장 전투력 : 6000,60,170006,180010
161001,150003,권장 전투력 : 3000,60,170007,180011
161002,150003,권장 전투력 : 4000,60,170007,180012
161003,150003,권장 전투력 : 5000,60,170007,180013
161004,150003,권장 전투력 : 6000,60,170007,180014
161005,150003,권장 전투력 : 7000,60,170007,180015
161501,150004,권장 전투력 : 4000,60,170008,180016
161502,150004,권장 전투력 : 5000,60,170008,180017
161503,150004,권장 전투력 : 6000,60,170008,180018
161504,150004,권장 전투력 : 7000,60,170008,180019
161505,150004,권장 전투력 : 8000,60,170008,180020
162001,150005,권장 전투력 : 5000,60,170009,180021
162002,150005,권장 전투력 : 6000,60,170010,180022
162003,150005,권장 전투력 : 7000,60,170011,180023
162004,150005,권장 전투력 : 8000,60,170012,180024
162005,150005,권장 전투력 : 9000,60,170013,180025
162501,150006,권장 전투력 : 10000,180,170014,180026
162502,150006,권장 전투력 : 12000,180,170014,180027
162503,150006,권장 전투력 : 13000,180,170015,180028
162504,150006,권장 전투력 : 14000,180,170015,180029
