장비의 세트 관리,,,,,"효과를 받는 스테이터스 (1. 체력, 2. 공격력, 3.마법공격력, 4. 공격속도, 5. 크리티컬확률, 6. 크리티컬데미지, 7. 방어력, 8. 마법저항력, 9. 체력재생력, 10. 이동속도)"
장비 세트 id (60001부터 1씩 증가),세트 단계에 따른 관리용 id,장비 세트에 필요한 장비,장비 세트에 필요한 장비의 개수,효과를 받는 스테이터스,효과를 받는 스테이터스 상승값
Equip_Set_Id,Set_Manager_Id,Equip_Set_Need_Name,Equip_Set_Need_Number,Affection_Equip_Set,Affection_Equip_Set_Value
int,int,string,int,enum,float
60001,30001,크로노스,3,2,1.1
60001,30002,크로노스,5,2,1.15
60001,30003,크로노스,8,8,1.25
60002,30004,코퍼에지,3,7,1.1
60002,30005,코퍼에지,5,2,1.15
60002,30006,코퍼에지,8,1,1.25
60003,30007,마노미터,3,5,1.1
60003,30008,마노미터,5,4,1.15
60003,30009,마노미터,8,2,1.25
60004,30010,플라즈마,3,9,1.1
60004,30011,플라즈마,5,7,1.15
60004,30012,플라즈마,8,6,1.25
60005,30013,인빅투스,3,10,1.1
60005,30014,인빅투스,5,8,1.15
60005,30015,인빅투스,8,1,1.25
60006,30016,스멜터 코어,3,5,1.1
60006,30017,스멜터 코어,5,9,1.15
60006,30018,스멜터 코어,8,2,1.25
60007,30019,중압 파쇄,3,5,1.1
60007,30020,중압 파쇄,5,4,1.15
60007,30021,중압 파쇄,8,2,1.25
60008,30022,글로리 스팀,3,8,1.1
60008,30023,글로리 스팀,5,7,1.15
60008,30024,글로리 스팀,8,1,1.25
60009,30025,옵시디언,3,10,1.1
60009,30026,옵시디언,5,7,1.15
60009,30027,옵시디언,8,1,1.25
60010,30028,아크 펄스,3,9,1.1
60010,30029,아크 펄스,5,6,1.15
60010,30030,아크 펄스,8,2,1.25
