스폰 몬스터 그룹,,,
몬스터 그룹 id (170001 부터 시작),몬스터 웨이브 단계,몬스터 id,스폰되는 몬스터 수
Monster_Group_Id,Monster_Wave,Monster_Id,Spawn_Num
int,int,int,int
170001,1,95001,1
170002,1,95002,1
170003,1,95003,1
170004,1,95004,1
170005,1,95005,1
170006,1,95006,1
170006,1,95007,1
170006,1,95008,1
170006,1,95009,1
170006,2,95006,1
170006,2,95007,1
170006,2,95008,1
170006,2,95009,1
170006,3,95006,1
170006,3,95007,1
170006,3,95008,1
170006,3,95009,1
170006,4,95006,1
170006,4,95007,1
170006,4,95008,1
170006,4,95009,1
170007,1,95010,1
170007,1,95011,1
170007,2,95010,1
170007,2,95011,1
170007,3,95010,1
170007,3,95011,1
170007,4,95010,1
170007,4,95011,1
170007,5,95010,1
170007,5,95011,1
170008,1,95012,1
170008,1,95013,1
170008,1,95014,1
170008,1,95015,1
170008,1,95016,1
170009,1,95017,1
170010,1,95018,1
170011,1,95019,1
170012,1,95020,1
170013,1,95021,1
170014,1,95022,1
170015,1,95023,1
