스테이지 별 몬스터 스폰 풀,,,,,,,,,,,,,,,,,,
몬스터의 스폰 풀 Id (100001부터 1씩 증가),스폰되는 스테이지의 시작,스폰되는 스테이지의 끝,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수,몬스터의 스텟과 기본 Id,생성되는 몬스터의 개수
Monster_Spawn_Id,Spawn_Stage_Start,Spawn_Stage_End,Monster_Id_1,Monster_Number_1,Monster_Id_2,Monster_Number_2,Monster_Id_3,Monster_Number_3,Monster_Id_4,Monster_Number_4,Monster_Id_5,Monster_Number_5,Monster_Id_6,Monster_Number_6,Monster_Id_7,Monster_Number_7,Monster_Id_8,Monster_Number_8
int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int,int
100001,130001,130050,90001,5,90006,5,90007,1,90008,4,98008,1,,,,,,
100002,130051,130100,90001,1,90006,5,90007,4,90008,5,98007,1,,,,,,
100003,130101,130200,90006,6,90007,2,90008,2,90011,1,90012,4,98011,1,,,,
100004,130201,130300,90007,3,90008,3,90014,6,90016,1,90017,1,90018,1,98018,1,,
100005,130301,130400,90011,3,90014,5,90016,2,90019,4,90020,5,90025,1,98024,1,,
100006,130401,130500,90021,2,90024,1,90027,5,90028,5,90031,5,90032,5,98033,1,,
100007,130501,130550,90001,5,90006,5,90007,1,90008,4,98008,1,,,,,,
100008,130551,130600,90001,1,90006,5,90007,4,90008,5,98007,1,,,,,,
100009,130601,130700,90006,6,90007,2,90008,2,90011,1,90012,4,98011,1,,,,
100010,130701,130800,90007,3,90008,3,90014,6,90016,1,90017,1,90018,1,98018,1,,
100011,130801,130900,90011,3,90014,5,90016,2,90019,4,90020,5,90025,1,98024,1,,
100012,130901,131000,90021,2,90024,1,90027,5,90028,5,90031,5,90032,5,98033,1,,
100013,131001,131100,90001,5,90006,3,90008,3,90014,3,90016,2,90028,2,90031,2,98007,1
100014,131101,131200,90011,4,90012,4,90017,4,90018,3,90025,1,90031,1,90033,1,98011,1
100015,131201,131300,90001,5,90008,3,90014,2,90018,3,90021,2,90027,3,90032,2,98016,1
100016,131301,131400,90007,2,90016,3,90021,3,90032,3,90017,3,90020,3,90021,3,98018,1
100017,131401,131500,90020,5,90021,3,90024,3,90025,3,90032,2,90027,2,90031,2,98021,1
100018,131501,131600,90001,3,90006,3,90008,3,90016,4,90019,3,90021,2,90025,2,98024,1
100019,131601,131700,90016,3,90017,3,90018,5,90019,3,90020,2,90021,2,90024,2,98025,1
100020,131701,131800,90006,4,90007,3,90016,3,90021,3,90024,1,90027,3,90031,3,98028,1
100021,131801,131900,90021,2,90024,2,90025,2,90027,4,90028,4,90031,4,90032,2,98033,1
