스테이지 별 몬스터 스테이터스 상승 배율,,,,,
몬스터의 스텟과 기본 Id (90001부터 1씩 증가), 체력 상승 배율, 공격력 상승 배율, 마법공격력 상승 배율, 방어력 상승 배율, 마법저항력 상승 배율
Monster_Id,Monster_Hp_Value,Monster_Atk_Value,Monster_Atk_M_Value,Monster_Def_Value,Monster_Def_M_Value
int,float,float,float,float,float
90001,1.006,1.006,1.006,1.002,1.002
90002,1.006,1.006,1.006,1.002,1.002
90003,1.006,1.006,1.006,1.002,1.002
90004,1.006,1.006,1.006,1.002,1.002
90005,1.006,1.006,1.006,1.002,1.002
90006,1.006,1.006,1.006,1.002,1.002
90007,1.006,1.006,1.006,1.002,1.002
90008,1.006,1.006,1.006,1.002,1.002
90009,1.006,1.006,1.006,1.002,1.002
90010,1.006,1.006,1.006,1.002,1.002
90011,1.006,1.006,1.006,1.002,1.002
90012,1.006,1.006,1.006,1.002,1.002
90013,1.006,1.006,1.006,1.002,1.002
90014,1.006,1.006,1.006,1.002,1.002
90015,1.006,1.006,1.006,1.002,1.002
90016,1.006,1.006,1.006,1.002,1.002
90017,1.006,1.006,1.006,1.002,1.002
90018,1.006,1.006,1.006,1.002,1.002
90019,1.006,1.006,1.006,1.002,1.002
90020,1.006,1.006,1.006,1.002,1.002
90021,1.006,1.006,1.006,1.002,1.002
90022,1.006,1.006,1.006,1.002,1.002
90023,1.006,1.006,1.006,1.002,1.002
90024,1.006,1.006,1.006,1.002,1.002
90025,1.006,1.006,1.006,1.002,1.002
90026,1.006,1.006,1.006,1.002,1.002
90027,1.006,1.006,1.006,1.002,1.002
90028,1.006,1.006,1.006,1.002,1.002
90029,1.006,1.006,1.006,1.002,1.002
90030,1.006,1.006,1.006,1.002,1.002
90031,1.006,1.006,1.006,1.002,1.002
90032,1.006,1.006,1.006,1.002,1.002
90033,1.006,1.006,1.006,1.002,1.002
98001,1.006,1.006,1.006,1.002,1.002
98002,1.006,1.006,1.006,1.002,1.002
98003,1.006,1.006,1.006,1.002,1.002
98004,1.006,1.006,1.006,1.002,1.002
98005,1.006,1.006,1.006,1.002,1.002
98006,1.006,1.006,1.006,1.002,1.002
98007,1.006,1.006,1.006,1.002,1.002
98008,1.006,1.006,1.006,1.002,1.002
98009,1.006,1.006,1.006,1.002,1.002
98010,1.006,1.006,1.006,1.002,1.002
98011,1.006,1.006,1.006,1.002,1.002
98012,1.006,1.006,1.006,1.002,1.002
98013,1.006,1.006,1.006,1.002,1.002
98014,1.006,1.006,1.006,1.002,1.002
98015,1.006,1.006,1.006,1.002,1.002
98016,1.006,1.006,1.006,1.002,1.002
98017,1.006,1.006,1.006,1.002,1.002
98018,1.006,1.006,1.006,1.002,1.002
98019,1.006,1.006,1.006,1.002,1.002
98020,1.006,1.006,1.006,1.002,1.002
98021,1.006,1.006,1.006,1.002,1.002
98022,1.006,1.006,1.006,1.002,1.002
98023,1.006,1.006,1.006,1.002,1.002
98024,1.006,1.006,1.006,1.002,1.002
98025,1.006,1.006,1.006,1.002,1.002
98026,1.006,1.006,1.006,1.002,1.002
98027,1.006,1.006,1.006,1.002,1.002
98028,1.006,1.006,1.006,1.002,1.002
98029,1.006,1.006,1.006,1.002,1.002
98030,1.006,1.006,1.006,1.002,1.002
98031,1.006,1.006,1.006,1.002,1.002
98032,1.006,1.006,1.006,1.002,1.002
98033,1.006,1.006,1.006,1.002,1.002
95001,1,1,1,1,1
95002,1,1,1,1,1
95003,1,1,1,1,1
95004,1,1,1,1,1
95005,1,1,1,1,1
95006,1,1,1,1,1
95007,1,1,1,1,1
95008,1,1,1,1,1
95009,1,1,1,1,1
95010,1,1,1,1,1
95011,1,1,1,1,1
95012,1,1,1,1,1
95013,1,1,1,1,1
95014,1,1,1,1,1
95015,1,1,1,1,1
95016,1,1,1,1,1
95017,1,1,1,1,1
95018,1,1,1,1,1
95019,1,1,1,1,1
95020,1,1,1,1,1
95021,1,1,1,1,1
95022,1,1,1,1,1
95023,1,1,1,1,1
