소비재 아이템 정의,,
주문서 id (200001부터 시작),주문서 이름,주문서 아이콘
Sk_Scl_Id,Sk_Scl_Name,Sk_Scl_Icon
int,string,string
200001,난무 주문서,Skill_001
200002,폭풍 난무 주문서,Skill_002
200003,순보 베기 주문서,Skill_005
200004,암살자의 발걸음 주문서,Skill_006
200005,스피어 주문서,Skill_007
200006,파이어 피어스 주문서,Skill_008
200007,입체 기동 블레이드 주문서,Skill_009
200008,파이어 샷 주문서,Skill_010
200009,연쇄 참격 주문서,Skill_011
200010,콤보 슬래시 주문서,Skill_012
200011,크로스 슬래시 주문서,Skill_013
200012,피어스 슬래시 주문서,Skill_014
200013,필살 주문서,Skill_015
200014,히트 쉐이커 주문서,Skill_016
200015,탈론 스크래치 주문서,Skill_018
200016,무기 연마 주문서,Skill_019
200017,복수자 주문서,Skill_020
200018,데우스 엑스 마키나의 축복 주문서,Skill_021
200019,마력을 머금은 내연 기관 주문서,Skill_022
200020,도로시아 식 쌍검술 주문서,Skill_023
200021,경량화 인첸트 주문서,Skill_024
200022,석유 정제 기관 주문서,Skill_025
200023,마력 무효화 망토 주문서,Skill_026
200024,경량화 마법을 머금은 오리할콘 갑주 주문서,Skill_027
200025,자가 수복 프로토콜 주문서,Skill_028
200026,암살자의 눈 주문서,Skill_029
200027,절삭 인챈트 주문서,Skill_030
200028,대지의 분노 주문서,Skill_017
200029,차원 난무 주문서,Skill_003
200030,제노사이드 주문서,Skill_004
