스킬의 모듈,,,"모듈의 타입 (1: TargetLock, 2: Melee, 3: MeleeAoe, 4: Projectile, 5: Teleport, 6: Dash, 7:HideAppear, 8:EffectHit)",
"스킬 모듈 id
(20001부터 1씩 증가)",직업 스킬  id (10001부터 1씩 증가),모듈 순서,모듈의 타입,"모듈 파라미터 id
(220001부터 1씩 증가)"
Skill_Module_Id,Job_Skill_Id,Module_Order,Module_Type,Module_Param_Id
int,int,int,enum,int
20001,10001,1,3,220001
20002,10002,1,3,220002
20003,10003,1,1,
20004,10003,2,5,
20005,10003,3,2,220003
20006,10004,1,1,
20007,10004,2,5,220004
20008,10005,1,1,
20009,10005,2,6,220005
20010,10006,1,1,
20011,10006,2,6,220006
20020,10010,1,1,
20021,10010,2,2,220012
20022,10010,3,2,220013
20023,10010,4,2,220014
20024,10010,5,2,220015
20025,10010,6,2,220016
20026,10010,7,2,220017
20027,10011,1,1,
20028,10011,2,5,220018
20029,10011,3,8,220019
20030,10012,1,1,
20031,10012,2,2,220020
20032,10012,3,2,220021
20033,10012,4,2,220022
20034,10012,5,6,220023
20035,10013,1,1,
20036,10013,2,5,220024
20037,10013,3,2,220025
20038,10013,4,2,220026
20039,10013,5,2,220027
20040,10014,1,3,220028
20041,10015,1,1,
20042,10015,2,3,220029
20043,18001,1,3,220030
20044,18001,2,3,220031
20045,18001,3,3,220031
20046,18001,4,3,220031
20047,18001,5,3,220032
20048,18002,1,1,
20049,18002,2,8,220033
20050,18002,3,6,220034
20051,18002,4,7,
20052,18002,5,3,220035
20053,18003,1,1,
20054,18003,2,7,
20055,18003,3,3,220036
