스킬의 강화 시 상승하는 값 관리,
스킬 강화도,강화 배율
Skill_Upgrade,Skill_Upgrade_Multiplier
int,float
0,1
1,1.008
2,1.016
3,1.024
4,1.032
5,1.04
6,1.048
7,1.056
8,1.064
9,1.072
10,1.08
11,1.088
12,1.096
13,1.104
14,1.112
15,1.12
16,1.128
17,1.136
18,1.144
19,1.152
20,1.16
21,1.168
22,1.176
23,1.184
24,1.192
25,1.2
26,1.208
27,1.216
28,1.224
29,1.232
30,1.24
31,1.248
32,1.256
33,1.264
34,1.272
35,1.28
36,1.288
37,1.296
38,1.304
39,1.312
40,1.32
41,1.328
42,1.336
43,1.344
44,1.352
45,1.36
46,1.368
47,1.376
48,1.384
49,1.392
50,1.4
51,1.408
52,1.416
53,1.424
54,1.432
55,1.44
56,1.448
57,1.456
58,1.464
59,1.472
60,1.48
61,1.488
62,1.496
63,1.504
64,1.512
65,1.52
66,1.528
67,1.536
68,1.544
69,1.552
70,1.56
71,1.568
72,1.576
73,1.584
74,1.592
75,1.6
76,1.608
77,1.616
78,1.624
79,1.632
80,1.64
81,1.648
82,1.656
83,1.664
84,1.672
85,1.68
86,1.688
87,1.696
88,1.704
89,1.712
90,1.72
91,1.728
92,1.736
93,1.744
94,1.752
95,1.76
96,1.768
97,1.776
98,1.784
99,1.792
100,1.8
