스테이지의 관리,,,,
스테이지 Id (110001 부터 1씩 증가),스테이지를 나눈 구간 Id (120001부터 1씩 증가),동시 스폰 상한,보스 소환 조건 처치수,몬스터의 스폰 풀 Id (100001부터 1씩 증가)
Stage_Id,Stage_Section_Id,Same_Spawn_Max,Boss_Summon_Dead_Namber,Monster_Spawn_Id
int,int,int,int,int
110001,120001,120,120,100001
110001,120002,120,120,100002
110002,120003,120,120,
110003,120004,120,120,
110004,120005,120,120,
110005,120006,120,120,
110006,120007,120,120,
110007,120008,120,120,
110008,120009,120,120,
110009,120010,120,120,
110010,120011,120,120,
110010,120012,120,120,
110011,120013,120,120,
110012,120014,120,120,
110012,120015,120,120,
110013,120016,120,120,
110014,120017,120,120,
110014,120018,120,120,
110015,120019,120,120,
110015,120020,120,120,
110015,120021,120,120,
