센션 별 보상,,,,,(오버드라이브 게이지 상승템)
섹션 Id (110001 부터 1씩 증가),섹션에서 드랍되는 골드,드랍되는 골드의 상승값,해당 섹션의 총 경험치,드랍되는 경험치의 상승값,섹션에서 드랍되는 오브
Section_Id,Section_Gold,Section_Gold_Value,Section_Exp,Section_Exp_Value,Section_Orb
int,int,float,string,float,float
130001,1500,0.6,3000,0.6,10
130002,1509,0.6,3018,0.6,10
130003,1518,0.6,3036,0.6,10
130004,1527,0.6,3054,0.6,10
130005,1536,0.6,3073,0.6,10
130006,1545,0.6,3091,0.6,10
130007,1554,0.6,3110,0.6,10
130008,1563,0.6,3128,0.6,10
130009,1575,0.6,3147,0.6,10
130010,1584,0.6,3166,0.6,10
130011,1593,0.6,3185,0.6,10
130012,1602,0.6,3204,0.6,10
130013,1611,0.6,3223,0.6,10
130014,1620,0.6,3243,0.6,10
130015,1632,0.6,3262,0.6,10
130016,1641,0.6,3282,0.6,10
130017,1650,0.6,3301,0.6,10
130018,1662,0.6,3321,0.6,10
130019,1671,0.6,3341,0.6,10
130020,1680,0.6,3361,0.6,10
130021,1692,0.6,3381,0.6,10
130022,1701,0.6,3402,0.6,10
130023,1710,0.6,3422,0.6,10
130024,1722,0.6,3443,0.6,10
130025,1731,0.6,3463,0.6,10
130026,1743,0.6,3484,0.6,10
130027,1752,0.6,3505,0.6,10
130028,1764,0.6,3526,0.6,10
130029,1773,0.6,3547,0.6,10
130030,1785,0.6,3568,0.6,10
130031,1794,0.6,3590,0.6,10
130032,1806,0.6,3611,0.6,10
130033,1815,0.6,3633,0.6,10
130034,1827,0.6,3655,0.6,10
130035,1839,0.6,3677,0.6,10
130036,1848,0.6,3699,0.6,10
130037,1860,0.6,3721,0.6,10
130038,1872,0.6,3743,0.6,10
130039,1884,0.6,3766,0.6,10
130040,1893,0.6,3788,0.6,10
130041,1905,0.6,3811,0.6,10
130042,1917,0.6,3834,0.6,10
130043,1929,0.6,3857,0.6,10
130044,1941,0.6,3880,0.6,10
130045,1953,0.6,3903,0.6,10
130046,1962,0.6,3927,0.6,10
130047,1974,0.6,3950,0.6,10
130048,1986,0.6,3974,0.6,10
130049,1998,0.6,3998,0.6,10
130050,2010,0.6,4022,0.6,10
130051,2022,0.6,4046,0.6,10
130052,2034,0.6,4070,0.6,10
130053,2046,0.6,4095,0.6,10
130054,2061,0.6,4119,0.6,10
130055,2073,0.6,4144,0.6,10
130056,2085,0.6,4169,0.6,10
130057,2097,0.6,4194,0.6,10
130058,2109,0.6,4219,0.6,10
130059,2121,0.6,4244,0.6,10
