구간으로 나누어진 스테이지,,,,,
스테이지를 나눈 구간 Id (120001부터 1씩 증가),장비 레벨에 따른 스테이지의 시작,장비 레벨에 따른 스테이지의 끝,드랍되는 장비의 레벨,장비의 드랍확률,스테이지 Id (110001 부터 1씩 증가)
Stage_Section_Id,Section_Start,Section_End,Equip_Drop_Level,Equip_Drop_Prob,Stage_Id
int,int,int,int,float,int
120001,130001,130050,1,0.05,110001
120002,130051,130100,10,0.05,110001
120003,130101,130200,20,0.05,110002
120004,130201,130300,30,0.05,110003
120005,130301,130400,40,0.05,110004
120006,130401,130500,50,0.05,110005
120007,130501,130600,60,0.05,110006
120008,130601,130700,70,0.05,110007
120009,130701,130800,80,0.05,110008
120010,130801,130900,90,0.05,110009
120011,130901,130950,100,0.05,110010
120012,130951,131000,110,0.05,110010
120013,131001,131010,120,0.05,110011
120014,131011,131025,130,0.05,110012
120015,131026,131050,140,0.05,110012
120016,131051,131100,150,0.05,110013
120017,131101,131250,160,0.05,110014
120018,131251,131500,170,0.05,110014
120019,131501,131700,180,0.05,110015
120020,131701,131900,190,0.05,110015
120021,131901,132000,200,0.05,110015
