대사창 기본 정보  ,,,,"출력 시점(1=스테이지 시작, 2= 보스 등장 직전, 3=보스 처치 후)  Id 구분(1000001 ~ 1199999 = 일반 대사, 1200001 ~ 1299999 = 튜토리얼, 1300001 ~ 1399999= 그외 대사)",,,,,,,
아이디,다음 대사 아이디,등장 스테이지,출력 시점,캐릭터,대사,캐릭터 스탠딩 이미지,일반 CG,작은 CG,배경,SFX,BGM
id,next_id,Section_id,output_time,name,line_desc,portrait,cg,cg_item,background,sfx,bgm
int,int,int,int,string,string,string,string,string,string,string,string
1000001,1000002,130020,1,도로시아,도시 외곽의 시민들은 완전히 전멸된 거 같아요. 아니면 론도니아 내성으로 피난을 갔던가요.,,,,도시외곽,,
1000002,1000003,130020,1,도로시아,그나저나 시체들은 그렇다 치더라도 저 짐승들은 어디서 찾아오는 걸까요? 론도니아 근처의 맹수는 씨를 말려놨는데.,,,,도시외곽,,
1000003,1000004,130020,1,데우스 엑스 마키나,본디 맹수는 죽음의 냄새를 쫓는 법. 저들이 죽은 자들의 행진을 따라 도시로 들어가는 것은 자연의 섭리이니라.,,,,도시외곽,,
1000004,1000005,130020,1,,멀리서 늑대가 울부짖는 소리가 난다.,,,,도시외곽,하울링,
1000005,1000006,130020,1,데우스 엑스 마키나,이번에는 좀 험한 것이 따라왔구나.,,,,도시외곽,,
1000006,1000007,130020,1,도로시아,험한 거요?,,,,도시외곽,,
1000007,1000008,130020,1,데우스 엑스 마키나,아직은 신경 쓸 필요가 없느니라. 저 짐승은 더 많은 생기(生氣)를 원하니…,,,,도시외곽,,
1000008,1000009,130020,1,데우스 엑스 마키나,너는 아직 그것의 후각에 감지되지 않을 것이니라.,,,,도시외곽,,
1000009,1000010,130020,1,도로시아,더 많은 생기를 원한다는 말은 생존자 무리를 노린다는 뜻인가요?,,,,도시외곽,,
1000010,1000011,130020,1,데우스 엑스 마키나,그런 셈이지.,,,,도시외곽,,
1000011,1000012,130020,1,도로시아,그렇다면 당장 저 짐승을 찾아야 해요. 어쩌면 아직 성벽으로 피난 가지 못한 생존자들이 있을 수도 있잖아요.,,,,도시외곽,,
1000012,,130020,1,데우스 엑스 마키나,고난을 자처하는구나. 훌륭하다. 널 쓰러뜨리지 못한 고난은 위업이 되어 널 더욱 강하게 만들 것이다.,,,,도시외곽,,
